nische_cluster,markt,produkte,hauptprogramme,provision_pct,cookie,aov_eur,provision_pro_sale_eur,cvr_benchmark,retourenquote,purchase_intent,intent_1_5,affiliate_fit,umsatz_pro_1m_views_base_eur,umsatz_pro_1m_views_strong_eur,views_fuer_5k_strong,views_fuer_10k_strong,datenqualitaet,quellen,notizen
06 KI-DIY/Hausbau/Cabin/Tiny House/Handwerk,EN/US,"Werkzeug/Akkugeräte, Holzbearbeitung, Cabin-/Tiny-House-Kits, Baustoffe","Amazon Tools/Home Improvement 3 %, VEVOR 4–5 % (Impact, 30 T), Jamaica Cottage Shop Cabin-Kits 5 % (direkt), Home Depot 1 %/Lowe's 1 % (1 T)","3,8",Amazon 24 h; VEVOR 30 T; JCS UNKNOWN,74,"2,83","Base 2,63 % / Strong 4,67 % (Klick->Bestellung, gemischt; E M3)",Base 10 % / Strong 7 % (provisionsgewichtet; E M5),PRODUCT DESIRE (indirekt),3,MEDIUM,32,189,29559601,55952102,"Amazon/VEVOR VERIFIED; JCS 5 % VERIFIED (Programmseite), AOV Cabin-Kit ESTIMATED; High-Ticket-CVR MODEL ASSUMPTION","P-A017/P-A020, P-C072, P-C068/P-C069; jamaicacottageshop.com/affiliate-signup","Provision/Sale effektiv (nach USt & Retouren, Base) 2,47 €; Geo EN 0.55/0.62; Allwood: kein Programm gefunden (UNKNOWN). KI-Bau-Content zeigt unrealistische Bauzeiten -> Werkzeug-Links ok, Kit-Versprechen nicht."
06 KI-DIY/Hausbau/Cabin/Tiny House/Handwerk,DE,"Werkzeug, Holz/Baustoffe, Gartenhäuser/Tiny-House-Kits","Amazon.de Baumarkt/Elektrowerkzeuge 5 %, hagebau Content 10 % (60 T), toom Content 8 %, BAUHAUS Content 7 %, OBI Content 7 %, GartenHaus GmbH Content 7 % (Awin, 30 T), Gartenhausfabrik 7 %","6,1",Amazon 24 h; Baumärkte 30–60 T; GartenHaus 30 T,85,"5,21","Base 1,76 % / Strong 3,06 % (Klick->Bestellung, gemischt; E M3)",Base 12 % / Strong 9 % (provisionsgewichtet; E M5),PRODUCT DESIRE (indirekt),3,MEDIUM,49,266,21021465,39790630,"Raten VERIFIED (Awin-Profile, 03); AOV Baumarkt/Gartenhaus ESTIMATED (hagebau nennt >260 € netto, SELF-REPORTED)","P-A044/P-A045, P-C075–P-C078, P-C022, P-C035; ui.awin.com/merchant-profile/22747","Provision/Sale effektiv (nach USt & Retouren, Base) 3,85 €; Geo DE 0.80/0.85; Stärkstes 'Kauf-nahes' KI-Ästhetik-Cluster in DE. Momentum auf YT aber verlangsamt (M5)."
07 KI-Restoration/Satisfying/ASMR,EN/US,"Poliermittel, Car-Detailing, Reiniger, Hochdruckreiniger, Handwerkzeug","Amazon Automotive 4,5 %/Tools 3 %, Chemical Guys bis 10 % (CJ, Ø-Sale >100 $), Kärcher UK bis 5 % (CJ, 30 T)","4,6",Amazon 24 h; Chemical Guys UNKNOWN; Kärcher 30 T,40,"1,84","Base 2,92 % / Strong 5,18 % (Klick->Bestellung, gemischt; E M3)",Base 10 % / Strong 8 % (provisionsgewichtet; E M5),PRODUCT DESIRE (indirekt),3,MEDIUM,23,124,45130731,85426027,Amazon VERIFIED; Chemical Guys 'bis 10 %' VERIFIED/SELF-REPORTED (Modell 7 %); Kärcher UK 'bis 5 %' VERIFIED (Programmseite); AOV teils SELF-REPORTED,"P-A005/P-A020, P-C100; karcher.com/gb/en/home-and-garden/join-the-karcher-affiliate-program","Provision/Sale effektiv (nach USt & Retouren, Base) 1,61 €; Geo EN 0.55/0.62; Compliance: KI-Restaurationsergebnis darf nicht als Produktwirkung gezeigt werden (G) -> Links nur als 'Tools used in real restorations'."
07 KI-Restoration/Satisfying/ASMR,DE,"Autopflege, Poliermaschinen, Reiniger, Hochdruckreiniger, Werkzeug","Amazon.de Auto 5 %/Baumarkt 5 %, Kärcher AT 5 % (Awin, 30 T, AOV 230 €), Autodoc 8 %, kfzteile24 6–8 %","5,3",Amazon 24 h; Kärcher/Autodoc/kfzteile24 30 T,50,"2,64","Base 2,27 % / Strong 3,88 % (Klick->Bestellung, gemischt; E M3)",Base 14 % / Strong 10 % (provisionsgewichtet; E M5),PRODUCT DESIRE (indirekt),3,MEDIUM,31,156,35820002,67802147,Raten VERIFIED (Kärcher AT Awin 40254 inkl. AOV 230 €; Autodoc/kfzteile24 aus 03),"P-A044/P-A047, P-C107, P-C109; ui.awin.com/merchant-profile/40254","Provision/Sale effektiv (nach USt & Retouren, Base) 1,91 €; Geo DE 0.80/0.85; Kärcher DE-Programm nicht gefunden – AT-Programm (DE-sprachig) als Proxy, Lieferland beachten."
08 KI-Geschichte/POV/Zeitreise,EN/US,"Geschichtsbücher, Hörbücher, Strategie-/Brettspiele, Museums-/Stadt-Touren","Amazon Books 4,5 %, Bookshop.org 10 % (THIRD-PARTY), Audible Trial-Bounty 5 $ (THIRD-PARTY), GetYourGuide 8 % (31 T, CLAIMED), Viator 8 % (VERIFIED)","5,0",Amazon 24 h; Bookshop UNKNOWN; GYG 31 T; Viator 30 T,31,"2,13","Base 2,49 % / Strong 4,41 % (Klick->Bestellung, gemischt; E M3)",Base 7 % / Strong 5 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,16,82,68050861,128810558,Amazon Books VERIFIED; Bookshop/Audible THIRD-PARTY; GYG CLAIMED; Tour-AOV ESTIMATED,"P-A006, P-D026, P-D027; getlasso.co/affiliate/bookshop; bloggingtips.com/audible-affiliate-program","Provision/Sale effektiv (nach USt & Retouren, Base) 1,95 €; Geo EN 0.55/0.62; Audible-Bounty als Fixbetrag gerechnet (kein Netto-Faktor). Bildungs-Content -> Bücher logisch, aber Impulskauf schwach."
08 KI-Geschichte/POV/Zeitreise,DE,"Sachbücher/Geschichte, Brettspiele, Touren","Amazon.de Bücher 5 %, Thalia Buch 11 % (Awin, 30 T, VERIFIED), Milan-Spiele 5 % (THIRD-PARTY), GetYourGuide 8 %","5,7",Amazon 24 h; Thalia 30 T; GYG 31 T,36,"2,04","Base 1,78 % / Strong 3,12 % (Klick->Bestellung, gemischt; E M3)",Base 8 % / Strong 6 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,13,65,85727681,162270253,Amazon/Thalia VERIFIED; Milan THIRD-PARTY; GYG CLAIMED; AOV ESTIMATED,"P-A048, P-D026; ui.awin.com/merchant-profile/14158; affiliate-marketing.de/partnerprogramme/milan-spiele.de","Provision/Sale effektiv (nach USt & Retouren, Base) 1,57 €; Geo DE 0.80/0.85; Buchpreisbindung -> Thalia-Rate 11 % gilt auch für preisgebundene Bücher. Hugendubel: nicht geprüft (Suchbudget)."
09 KI-Babys/Familie,EN/US,"Babyausstattung, Spielzeug, Schlaf-/Stillprodukte","Amazon Baby 3 %, Momcozy 10 %, CYBEX 6 %, Target 3 % (7 T), Babylist 1 %","4,2",Amazon 24 h; Brands 30 T; Target 7 T,37,"1,56","Base 3,01 % / Strong 5,35 % (Klick->Bestellung, gemischt; E M3)",Base 10 % / Strong 7 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,14,76,73604668,139323122,Raten VERIFIED; AOV Brands ESTIMATED,"P-A024, P-C138, P-C139, P-C146","Provision/Sale effektiv (nach USt & Retouren, Base) 1,36 €; Geo EN 0.55/0.62; Compliance HIGH (Eltern-Vertrauen, Sicherheitsclaims, KI-Babys mit Produkten). Content = Comedy, kein Kaufanlass."
09 KI-Babys/Familie,DE,"Babyausstattung, Kinderwagen, Spielzeug","Amazon.de 3 %, babymarkt 5 %, baby-walz 6 % (10 T), Babybrands 2–7 % (AOV 224 €)","3,6",Amazon 24 h; babymarkt 30 T; baby-walz 10 T,41,"1,49","Base 2,20 % / Strong 3,77 % (Klick->Bestellung, gemischt; E M3)",Base 12 % / Strong 9 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,12,59,95547344,180857473,Raten VERIFIED; AOV ESTIMATED,"P-A059, P-C151, P-C152, P-C154","Provision/Sale effektiv (nach USt & Retouren, Base) 1,10 €; Geo DE 0.80/0.85; Compliance HIGH."
10 KI-Kochen/Village-Food/Cozy Cooking,EN/US,"Gusseisen (Lodge), Dutch Oven, Messer, Feuer-/Outdoor-Küche","Amazon Kitchen 4,5 % (Lodge nur via Amazon – kein eigenes Programm gefunden), Zwilling/Staub US 6 % (CJ, THIRD-PARTY), Le Creuset US 4 % (THIRD-PARTY)","4,7",Amazon 24 h; Zwilling UNKNOWN,47,"2,21","Base 3,01 % / Strong 5,35 % (Klick->Bestellung, gemischt; E M3)",Base 10 % / Strong 7 % (provisionsgewichtet; E M5),PRODUCT DESIRE (indirekt),3,MEDIUM,29,156,35989624,68123217,Amazon VERIFIED; Zwilling/Le Creuset THIRD-PARTY; Lodge-Programm UNKNOWN (nicht gefunden),"P-A004, P-B068, P-B071; lodge.knoji.com / viglink (kein Programm)","Provision/Sale effektiv (nach USt & Retouren, Base) 1,93 €; Geo EN 0.55/0.62; Village-Cooking-Ästhetik (offenes Feuer) passt zu Gusseisen; Momentum ONE-OFF (M5)."
10 KI-Kochen/Village-Food/Cozy Cooking,DE,"Gusseisen/Feuertopf, Messer, Kochgeschirr","Amazon.de Küche 5 %, Petromax 4–12 % (Adcell, 60 T, Ø-WK 96 €), Zwilling/Staub DE 6,4–8 % (Awin), WMF 5 %","5,7",Amazon 24 h; Petromax 60 T; Zwilling UNKNOWN,58,"3,29","Base 1,97 % / Strong 3,42 % (Klick->Bestellung, gemischt; E M3)",Base 12 % / Strong 9 % (provisionsgewichtet; E M5),PRODUCT DESIRE (indirekt),3,MEDIUM,34,177,31667368,59941804,Amazon/Petromax VERIFIED (Adcell-Ø-WK); Petromax-Rate Mitte der Spanne = ESTIMATED; Zwilling THIRD-PARTY,"P-A043, P-C020, P-B065, P-B066","Provision/Sale effektiv (nach USt & Retouren, Base) 2,43 €; Geo DE 0.80/0.85; Solider Produktbezug; Petromax passt zur Feuerküche."
11 KI-Reise-Traumorte/Nature,EN/US,"Touren/Aktivitäten, Hotels, Travel Gear","GetYourGuide 8 % (31 T, CLAIMED), Viator 8 % (30 T, VERIFIED), Booking.com Anteil (THIRD-PARTY), Amazon Luggage 4 %","4,7",GYG 31 T; Viator 30 T; Booking ~30 T,90,"4,26","Base 1,04 % / Strong 1,92 % (Klick->Bestellung, gemischt; E M3)",Base 22 % / Strong 18 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,11,64,87658593,165925194,Viator VERIFIED; GYG CLAIMED; Booking THIRD-PARTY (Anteil an Booking-Provision ≈4 % Buchungswert = ESTIMATED); AOV ESTIMATED,"P-D024, P-D026, P-D027, P-A010; model.py K30","Provision/Sale effektiv (nach USt & Retouren, Base) 3,22 €; Geo EN 0.55/0.62; 'Places that don't feel real' = teils fiktive Orte -> Link nur bei realen Zielen, sonst irreführend. Provision erst nach Reise."
11 KI-Reise-Traumorte/Nature,DE,"Touren, Hotels, Reisegepäck","GetYourGuide 8 %, Booking.com (Awin), Amazon.de Gepäck 4 %","4,8",GYG 31 T; Booking ~30 T,104,"4,96","Base 0,88 % / Strong 1,60 % (Klick->Bestellung, gemischt; E M3)",Base 24 % / Strong 19 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,13,73,76431134,144673218,wie EN,"P-D024, P-D026, P-A051","Provision/Sale effektiv (nach USt & Retouren, Base) 3,17 €; Geo DE 0.80/0.85; wie EN."
12 KI-Horror/Mystery,EN/US,"Horror-Bücher, Horror-Games (Keys), Horror-Brettspiele","Amazon Books 4,5 %, Green Man Gaming bis 5 % (Impact, SELF-REPORTED), Humble 4–10 % (THIRD-PARTY), Fanatical 2–5 % (THIRD-PARTY), Miniature Market 5 % (7 T, VERIFIED); Steam: kein Affiliate-Programm","4,5",Amazon 24 h; Miniature Market 7 T; Keyshops UNKNOWN,30,"1,37","Base 2,14 % / Strong 3,88 % (Klick->Bestellung, gemischt; E M3)",Base 6 % / Strong 4 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,7,41,135895120,257230048,Amazon/Miniature Market VERIFIED; GMG SELF-REPORTED ('up to'); Humble/Fanatical THIRD-PARTY,"P-A006, P-D154; greenmangaming.com/affiliates; affiliateroll.com (Humble vs GMG); uppromote.com (Fanatical)","Provision/Sale effektiv (nach USt & Retouren, Base) 1,26 €; Geo EN_YOUNG 0.45/0.55; Roblox-Mystery-Publikum jung. Momentum hängt an Einzelkanal (M5)."
12 KI-Horror/Mystery,DE,"Horror-/Mystery-Bücher, Game-Keys, Brettspiele","Amazon.de Bücher 5 %, Thalia 11 %, Instant Gaming ~3 % (dynamisch, THIRD-PARTY), GMG bis 5 %","5,4",Amazon 24 h; Thalia 30 T; Instant Gaming 24 h (THIRD-PARTY),32,"1,72","Base 1,74 % / Strong 3,08 % (Klick->Bestellung, gemischt; E M3)",Base 6 % / Strong 4 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,11,55,102720824,194435846,Amazon/Thalia VERIFIED; Keyshops THIRD-PARTY,P-A048; Awin 14158; cuelinks/linkmydeals (Instant Gaming),"Provision/Sale effektiv (nach USt & Retouren, Base) 1,36 €; Geo DE 0.80/0.85; Keyshop-Raten dynamisch; Grey-Market-Keys (G2A u. ä.) bewusst ausgeschlossen."
13 KI-Autos/Luxus,EN/US,"Autozubehör, Car Care, Modellautos/LEGO Technic","Amazon Automotive 4,5 %/Toys 3 %, Chemical Guys bis 10 % (CJ), Nextbase 5 %","4,3",Amazon 24 h; Nextbase 14 T,35,"1,49","Base 3,38 % / Strong 5,96 % (Klick->Bestellung, gemischt; E M3)",Base 10 % / Strong 8 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,14,76,74159341,140373038,Amazon VERIFIED; Chemical Guys 'bis' VERIFIED (Modell 7 %),"P-A005, P-A023, P-C100, P-C104","Provision/Sale effektiv (nach USt & Retouren, Base) 1,30 €; Geo EN 0.55/0.62; Luxusautos selbst nicht affiliate-fähig; Publikum aspirativ/jung."
13 KI-Autos/Luxus,DE,"Autozubehör, Autopflege, Modellautos","Amazon.de Auto 5 %, CK-Modelcars 7 % Neukunde/4 % (Awin, 30 T, Ø-WK 160 €), Autodoc 8 %","5,8",Amazon 24 h; CK-Modelcars 30 T; Autodoc 30 T,55,"3,19","Base 1,95 % / Strong 3,40 % (Klick->Bestellung, gemischt; E M3)",Base 13 % / Strong 10 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,22,112,49964789,94576207,"Raten VERIFIED (CK-Modelcars Awin 115681 inkl. Ø-WK 160 €, SELF-REPORTED); Mischsatz 6 % ESTIMATED","P-A047, P-C107; ui.awin.com/merchant-profile/115681","Provision/Sale effektiv (nach USt & Retouren, Base) 2,33 €; Geo DE 0.80/0.85; Modellautos = logischster Produktbezug."
14 KI-Interior/Architektur/Dream Rooms,EN/US,"Deko, Leuchten, Möbel ('ähnliche' Produkte)","Amazon Home/Furniture 3 %, AllModern 8 % (45 T), Wayfair","4,3",Amazon 24 h; AllModern 45 T,82,"3,54","Base 1,88 % / Strong 3,36 % (Klick->Bestellung, gemischt; E M3)",Base 10 % / Strong 7 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,19,111,50491883,95573922,"= model.py K29 (Raten VERIFIED, Rest MODEL ASSUMPTION)",model.py K29; P-A015/P-A016,"Provision/Sale effektiv (nach USt & Retouren, Base) 3,09 €; Geo EN 0.55/0.62; Unverändert aus Vorstudie übernommen."
14 KI-Interior/Architektur/Dream Rooms,DE,"Deko, Leuchten, Möbel","Amazon.de Wohnen/Möbel 5 %, Connox 8 % (60 T), Westwing 4,9–6 %, Nordic Nest 8 %","5,7",Amazon 24 h; Connox 60 T; Westwing 30 T,59,"3,36","Base 1,46 % / Strong 2,52 % (Klick->Bestellung, gemischt; E M3)",Base 12 % / Strong 9 % (provisionsgewichtet; E M5),ASPIRATION / ENTERTAINMENT (schwacher Produktbezug),2,LOW,17,89,62874546,119012533,Raten VERIFIED/THIRD-PARTY (03); Kanalmix analog K04/K29,"P-A041/P-A042, P-A100; model.py K04","Provision/Sale effektiv (nach USt & Retouren, Base) 2,49 €; Geo DE 0.80/0.85; KI-Traumräume ≠ kaufbare Produkte (Abschlag CVR ×0,7 wie K29)."
15 KI-Fashion/AI-Personas,EN/US,"Kleidung, Schuhe, Accessoires (Shop the look)","Amazon Apparel/Shoes 4 %, REVOLVE 5 %, Shopbop 4 % (THIRD-PARTY), Walmart Creator Fashion 20 % (CLAIMED)","4,5",Amazon 24 h; Shops UNKNOWN,51,"2,29","Base 2,20 % / Strong 4,00 % (Klick->Bestellung, gemischt; E M3)",Base 25 % / Strong 20 % (provisionsgewichtet; E M5),PRODUCT DESIRE (indirekt),3,MEDIUM,18,103,54289256,102761805,Amazon VERIFIED; Shops THIRD-PARTY; Walmart 20 % CLAIMED (nicht gerechnet),"P-A007/P-A011, P-D127, P-D128, P-A092","Provision/Sale effektiv (nach USt & Retouren, Base) 1,67 €; Geo EN 0.55/0.62; AI-Persona trägt nicht existierende Outfits -> nur 1:1 reale Artikel verlinken (G). Retouren hoch."
15 KI-Fashion/AI-Personas,DE,"Kleidung, Schuhe, Accessoires","Amazon.de Bekleidung 6 %, Breuninger 12 %, Lounge by Zalando 12 %, Mango 6 %, OTTO bis 15 % (CLAIMED)","8,7",Amazon 24 h; OTTO 30 T; Rest UNKNOWN,78,"6,77","Base 1,60 % / Strong 2,90 % (Klick->Bestellung, gemischt; E M3)",Base 45 % / Strong 35 % (provisionsgewichtet; E M5),PRODUCT DESIRE (indirekt),3,MEDIUM,36,218,25710713,48666708,= model.py K20 (Raten THIRD-PARTY/VERIFIED),"model.py K20; P-A037, P-D119–P-D121, P-D129","Provision/Sale effektiv (nach USt & Retouren, Base) 3,13 €; Geo DE 0.80/0.85; DE-Fashion-Retouren 45 % (Base)."
