quelle_strang,handle,url,plattform,nische_cluster,unter_nische,land_sprache,account_alter_oder_start,erstes_sichtbares_posting,start_datenqualitaet,follower_heute,follower_heute_datum,follower_heute_dq,follower_vor_30d,follower_vor_60d,follower_vor_90d,follower_vor_120d,follower_historie_quelle,follower_historie_dq,posts,posts_dq,posts_pro_woche,median_reel_views,median_dq,top_reel_url,top_reel_views,top_reel_datum,top5_reels,top_reels_dq,anzahl_reels_ueber_1m_bekannt,engagement_hinweis,ai_status,ai_beleg,ai_tools,klasse,emerging_outlier,affiliate_oder_monetarisierung_sichtbar,link_in_bio,quelle_urls,pruefdatum,notizen
M2,bible_with_ai,https://www.instagram.com/bible_with_ai/,Instagram,AI Bible/Religion,Bibel-Geschichten,Englisch,UNKNOWN,UNKNOWN,UNKNOWN,3369,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Bio: 'Journeying through the Bible with AI',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/bible_with_ai/,2026-09-26,
M2,aibiblemovies,https://www.instagram.com/aibiblemovies/,Instagram,AI Bible/Religion,AI-Bibelfilme (YT-first),Englisch,UNKNOWN,UNKNOWN,UNKNOWN,141,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,87,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Name 'AI BIBLE MOVIES',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/aibiblemovies/,2026-09-26,Bio: >15K YouTube-Abos (SELF-REPORTED); IG kaum genutzt.
M2,holyvlogsz,https://www.instagram.com/holyvlogsz/,Instagram,AI Bible/Religion,"Bibel-Vlogs (Selfie-Vlog-Stil, Veo 3)",Englisch,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.instagram.com/reel/DKZO8OzAw1b/,'millions of views in a few hours' (Repost-Caption),~2025-06 (Shortcode),,SELF-REPORTED/Dritt-Caption,0 bekannt,,VERIFIED,Repost-Caption von @chatgptricks: 'No actors. No set. Just Veo 3' mit Credit [@holyvlogsz],Veo 3,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/reel/DKZO8OzAw1b/,2026-09-26,Originator des 'AI Bible influencer'-Trends (Juni 2025); eigene Follower-Zahl nicht erhoben.
M2,neural.horror,https://www.instagram.com/neural.horror/,Instagram,AI Horror/Creepy,Eerie AI-Visuals,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,87000,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Bio: 'Eerie visions created with AI',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/neural.horror/,2026-09-26,
M2,artificial.nightmares,https://www.instagram.com/artificial.nightmares/,Instagram,AI Horror/Creepy,AI-Horror-Art & Worldbuilding,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,141000,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Bio: AI art & worldbuilding,UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/artificial.nightmares/,2026-09-26,
M2,ai.creepy,https://www.instagram.com/ai.creepy/,Instagram,AI Horror/Creepy,Cinematic Horror-Clips,Englisch,UNKNOWN,UNKNOWN,UNKNOWN,1669,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Name 'AI CREEPY',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/ai.creepy/,2026-09-26,
M2,aihorrorrising,https://www.instagram.com/aihorrorrising/,Instagram,AI Horror/Creepy,AI-Horror,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,673,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Name 'AI HORROR RISING',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/aihorrorrising/,2026-09-26,
M2,thehorror.ai,https://www.instagram.com/thehorror.ai/,Instagram,AI Horror/Creepy,AI-Horror,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Handle 'thehorror.ai',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/thehorror.ai/,2026-09-26,Keine Zahlen.
M2,ai_horror_videos,https://www.instagram.com/ai_horror_videos/,Instagram,AI Horror/Creepy,AI-Horror-Videos,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Name 'AI HORROR GENERATED VIDEOS',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/ai_horror_videos/reels/,2026-09-26,Keine Zahlen.
M2,cinematicai.films,https://www.instagram.com/cinematicai.films/,Instagram,AI Fantasy/Mythologie,1-Minuten-Goetter-Stories (Telugu+Englisch),Indien / Telugu+Englisch,UNKNOWN,UNKNOWN,UNKNOWN,4075,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,39,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,"Name 'Cinematic AI Studio | Mythology & Sci-Fi', Bio 'Daily AI reels'",UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/cinematicai.films/,2026-09-26,"Indische Mythologie-Welle (siehe 'Bhagwan Ji in Car'-Trend, exchange4media)."
M2,darkfantasy.ai,https://www.instagram.com/darkfantasy.ai/,Instagram,AI Fantasy,Dark Fantasy,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,883,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Handle '.ai',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/darkfantasy.ai/,2026-09-26,
M2,mistoraearth,https://www.instagram.com/mistoraearth/,Instagram,AI Fantasy/Surreal Places,'Places on earth that don't feel real' (AI-Landschaften),Englisch,"YT-Zwilling: Kanal 2024-12-02, erste Shorts-Uploads 2025-12-11 (NexLev)",UNKNOWN (IG),THIRD-PARTY OBSERVED (nur YT-Zwilling),UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,"0 bekannt (IG); YT-Zwilling: Top-Short 323M, 91M, 59M, 32M, 25M Views",,VERIFIED,NexLev klassifiziert YT-Zwilling als AI-Content; Titel 'Place on earth that don't feel real',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/mistoraearth/ | youtube.com/@MistoraEarth (About-Link 'My account instagram'),2026-09-26,"IG-Handle aus YT-About-Link; YT: 629K Abos, 865M Gesamtviews (2026-09-26). IG-Zahlen nicht erhoben. Grenzfall zu Travel-Cluster."
M2,maximalnostalgia,https://www.instagram.com/maximalnostalgia/,Instagram,AI Nostalgia,Idealisierte 80er/90er-Szenen,USA / Englisch,UNKNOWN,UNKNOWN,UNKNOWN,1000000,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,502,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,,"UNKNOWN (Video mit 600.000+ Likes, lt. Philstar 2025-11-25)",UNKNOWN,,THIRD-PARTY OBSERVED,0 bekannt,,VERIFIED,Presse (Philstar/Fast Company): 'regularly puts out AI-generated nostalgia content'; Gruender Tavaius Dawson,"Sora/Veo/Luma Ray (Presse, allgemein)",-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/maximalnostalgia/ | https://www.philstar.com/lifestyle/2025/11/25/2489792/what-ai-nostalgia-rising-popularity-idealized-fake-80s-90s-videos,2026-09-26,"Bio 'The Nostalgia storytelling brand', founded by @tavaius. Legacy (>=2025) -> Kontext."
M2,literallynostalgia,https://www.instagram.com/literallynostalgia/,Instagram,AI Nostalgia,AI-Nostalgie,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Profilname 'AI Nostalgia',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/literallynostalgia/,2026-09-26,Keine Zahlen.
M2,fruitloveislandai,https://www.instagram.com/fruitloveislandai/,Instagram,AI Storytelling/Serien,Obst-Reality-Microdrama ('Fruit Love Island'),Englisch,Serie gestartet 2026-03-13 (TikTok @ai.cinema021),UNKNOWN (IG),VERIFIED (Wikipedia/Philstar fuer Serie; IG-Start unbekannt),UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt (IG); TikTok: Ep.15 39M Views,,VERIFIED,Handle 'fruitloveisland.ai'; Serie laut Presse vollstaendig AI-generiert,Presse nennt Sora / Seedance 2.0 (Kontext),-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/fruitloveislandai/ | https://en.wikipedia.org/wiki/Fruit_Love_Island | https://www.philstar.com/entertainment/2026/04/05/2518845/ai-generated-fruit-love-island-takes-tiktok-storm,2026-09-26,"Ob offizieller IG-Zwilling oder Copycat unklar (Philstar: viele Fake-Accounts). TikTok-Original: 3M+ Follower in 9 Tagen, 300M+ Views. Staffel beendet 2026-04-02 -> ausserhalb des 120d-Fensters."
M2,ai.fruit.stories,https://www.instagram.com/ai.fruit.stories/,Instagram,AI Storytelling/Serien,Obst-Microdrama-Staffeln (10 Parts),Spanisch-UI / Englisch,UNKNOWN,UNKNOWN,UNKNOWN,1509,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Name 'Ai Fruit Stories',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/ai.fruit.stories/,2026-09-26,Copycat nach Fruit Love Island; kaum Traktion.
M2,skellyaimind,https://www.instagram.com/skellyaimind/,Instagram,AI Storytelling/Serien,Obst-Sadstory in Parts,Englisch,UNKNOWN,UNKNOWN,UNKNOWN,320,2026-09-26 (Instagram-Embed),VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.instagram.com/reel/DWDo38ukSQV/,UNKNOWN (11 Likes),~2026-03 (Shortcode),,UNKNOWN,0 bekannt,,VERIFIED,"Caption '#ai ... #fruit', Handle 'aimind'",UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/reel/DWDo38ukSQV/,2026-09-26,Copycat-Beleg fuer Saettigung (Maerz 2026).
M2,talesofaicats,https://www.instagram.com/talesofaicats/,Instagram,AI Storytelling/Serien,AI-Katzen-Serie (Pet-Microdrama),Englisch,UNKNOWN,UNKNOWN,UNKNOWN,175000,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,229,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Name 'Tales of AI Cats',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/talesofaicats/,2026-09-26,Pet-Drama-Welle (CGTN 2026-03-20). Alter unbekannt.
M2,aistoryseries,https://www.instagram.com/aistoryseries/,Instagram,AI Storytelling/Serien,Taegliche AI-Kurzfilm-Episoden,Englisch,UNKNOWN,UNKNOWN,UNKNOWN,167000,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,582,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,"Name 'AI Story series', Bio: taegliche neue Episoden",UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/aistoryseries/,2026-09-26,
M2,rileymillerstories,https://www.instagram.com/rileymillerstories/,Instagram,AI Storytelling,Moral-/Karma-Kurzgeschichten mit AI-Persona,Englisch,UNKNOWN,UNKNOWN,UNKNOWN,111000,2026-09-21 (avatarfactory-Scan),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,avatarfactory: +12K in 12 Tagen (=> ~99K um 2026-09-09); ~+7K/Woche,THIRD-PARTY OBSERVED,UNKNOWN (12 Reels gescannt),UNKNOWN,UNKNOWN,"~36K (Top-3: 55,6K/36,9K/36,1K)",THIRD-PARTY OBSERVED,,55600,2026-08-26,One Act of Kindness...|55600|2026-08-26; She Took the Child's Life Jacket...|36900|2026-08-25; He Threw Her Bag in the Aisle...|36100|2026-08-27,THIRD-PARTY OBSERVED,0 bekannt,,VERIFIED,"avatarfactory listet als AI-Influencer, erstellt mit AvatarFactory",AvatarFactory,-,nein,ja: Link-in-Bio zu Promotions (avatarfactory),Promotions,https://avatarfactory.io/ai-influencers/riley-miller,2026-09-26,Follower-Wachstum ohne sichtbare Views (0 Views in 30d) -> Wachstumsquelle unklar (evtl. Promo).
M2,joeyonthestreets,https://www.instagram.com/joeyonthestreets/,Instagram,AI Street-Interviews,AI-Host mit synthetischen Passanten,USA / Englisch,UNKNOWN,UNKNOWN,UNKNOWN,667000,2026-06-07 (avatarfactory-Scan),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,154,THIRD-PARTY OBSERVED,0 (kein Post in 90 Tagen lt. Scan),UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Blur Studios AI (joey@blurstudios.ai); avatarfactory: synthetischer Host & Interviewte,AI-Pipeline Blur Studios (Skript->Reel ~3 Min.),-,nein,"ja: Playbook-Verkauf, gesponserte Fragen (avatarfactory, geschaetzt)",Playbook + E-Mail,https://avatarfactory.io/ai-influencers/joey-on-the-street,2026-09-26,>100M Views plattformuebergreifend (avatarfactory). Inaktiv seit ~Maerz 2026 -> kein 120d-Momentum.
M2,greenskullai,https://www.instagram.com/greenskullai/,Instagram,AI Street-Interviews (Demo),Veo-3-Demo 'This street interview is AI GENERATED',Englisch,UNKNOWN,UNKNOWN,UNKNOWN,7000,2026-09-26 (Instagram-Embed),VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.instagram.com/reel/DKAgmSoRMsJ/,UNKNOWN (45 Likes),~2025-05 (Shortcode),,UNKNOWN,0 bekannt,,VERIFIED,Caption: 'created using Google's Veo 3',Veo 3,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/reel/DKAgmSoRMsJ/,2026-09-26,"AI-News-Creator, Randfall."
M2,grannyspills,https://www.instagram.com/grannyspills/,Instagram,AI Memes/Comedy,Wiederkehrende AI-Oma-Figur (Sassy Commentary),USA / Englisch,UNKNOWN,UNKNOWN,UNKNOWN,2000000,2026-09-18 (avatarfactory-Scan),THIRD-PARTY OBSERVED,~2118000 (Scan: -118K ueber 29 Tage),UNKNOWN,~2046000 (Scan: -46K ueber 89 Tage),UNKNOWN,avatarfactory 2026-09-18: flach 6 Tage; -118K/29 Tage; -46K/89 Tage,THIRD-PARTY OBSERVED,400,THIRD-PARTY OBSERVED,UNKNOWN,"UNKNOWN (30d: 10,84M Views gesamt)",THIRD-PARTY OBSERVED (Aggregat),,21060000,2026-01-13,Reel Jan 13|21060000|2026-01-13; Reel Aug 24|12000000|2026-08-24; Reel Aug 22|3840000|2026-08-22; Reel Jul 11|2710000|2026-07-11; Reel Sep 6|1530000|2026-09-06,THIRD-PARTY OBSERVED,5,"Jan-13-Reel 1,51M Likes; Aug-22 608K Likes",VERIFIED,Bio: 'Birthed by @blurstudios.ai'; Creator Eric Suarez & Adam Vaserstein; Veo,LLM-Skripte + Veo,E,nein,"ja: Brand Deals, Affiliate (avatarfactory, geschaetzt)",granny@blurstudios.ai,https://avatarfactory.io/ai-influencers/granny-spills | https://www.instagram.com/grannyspills/,2026-09-26,Legacy (2025) -> Kontext; trotz 12M-Reel im Aug. Follower-Rueckgang (-118K/29d) -> moegliche Bereinigung/Ermuedung.
M2,ai_memes_,https://www.instagram.com/ai_memes_/,Instagram,AI Memes/Comedy,AI-generierte Memes,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,317,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,1035,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Name 'Ai generated memes',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/ai_memes_/,2026-09-26,Negativbeispiel: Volumen ohne Reichweite.
M2,ai4celebrity,https://www.instagram.com/ai4celebrity/,Instagram,AI Memes/Fantasy,Promis in Fantasy-Settings,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2802,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,"Name 'Celebrity AI', Bio 'AI generated celebrity images in fantasy settings'",UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/ai4celebrity/,2026-09-26,Rechtlich riskant (Persoenlichkeitsrechte).
M3,@midjourney.architecture,https://www.instagram.com/midjourney.architecture/,Instagram,AI Architecture,Midjourney-Architektur-Renderings (Bilder/Carousels),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,161K–172K (zwei Snippets),"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,501,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"ER 2,2 % laut speeedy.ai-Snippet (Datum unbekannt)",VERIFIED,Handle/Name 'Midjourney Architecture',Midjourney,keine – Legacy/Kontext,nein/unbekannt,UNKNOWN,UNKNOWN,"https://www.instagram.com/midjourney.architecture/?hl=en | https://speeedy.ai/influencer/midjourney.architecture (Snippet: 172K, ER 2,2%)",2026-09-26,"Kontext-Beispiel aus früherer Studie neu geprüft: existiert, ~161–172K; kein Hinweis auf junges Wachstum. speeedy.ai-Seite am 2026-09-26 HTTP 503."
M3,@midjourney.architect,https://www.instagram.com/midjourney.architect/,Instagram,AI Architecture,'artificial sketchbook of an architect' – MJ-Konzeptarchitektur,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,51K,"Such-Snippet (WebSearch-Index), abgerufen 2026-09-26, Indexstand unbekannt",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,"1,608",THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Bio: 'all images generated with AI by @d.j.alf'; Parametric-Architecture-Liste 08/2025,Midjourney,keine – Legacy/Kontext,nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/midjourney.architect/ | https://parametric-architecture.com/top-10-ai-design-pages-instagram-2025/,2026-09-26,Betreiber David Alf (Olson Kundig). Legacy-Architektenaccount.
M3,@ai.arch.itecture,https://www.instagram.com/ai.arch.itecture/,Instagram,AI Architecture,"AI-Konzeptarchitektur, parametrische Formen (Gründerin Ebrar Eke)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Parametric Architecture 'Top 10 AI Design Pages to Follow on Instagram in 2025' (06.08.2025) beschreibt Account als AI-Design-Page,nicht genannt,keine – Legacy/Kontext (Follower unbekannt),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/ai.arch.itecture/ | https://parametric-architecture.com/top-10-ai-design-pages-instagram-2025/,2026-09-26,"Follower/Posts nicht öffentlich abrufbar (IG-Login-Wall, keine Snippets). "
M3,@diffusion_architecture,https://www.instagram.com/diffusion_architecture/,Instagram,AI Architecture,Architektur × KI × Computational Design (kuratiert),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Parametric Architecture 'Top 10 AI Design Pages to Follow on Instagram in 2025' (06.08.2025) beschreibt Account als AI-Design-Page,Stable Diffusion,keine – Legacy/Kontext (Follower unbekannt),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/diffusion_architecture/ | https://parametric-architecture.com/top-10-ai-design-pages-instagram-2025/,2026-09-26,"Follower/Posts nicht öffentlich abrufbar (IG-Login-Wall, keine Snippets). "
M3,@ai_fredyfortich,https://www.instagram.com/ai_fredyfortich/,Instagram,AI Architecture,"Diffusion-basierte Architekturkonzepte (Fredy Fortich, MVRDV)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden (Social Blade/HypeAuditor per Cloudflare gesperrt),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,VERIFIED,Parametric Architecture 'Top 10 AI Design Pages to Follow on Instagram in 2025' (06.08.2025) beschreibt Account als AI-Design-Page,Diffusion-Tools,keine – Legacy/Kontext (Follower unbekannt),nein/unbekannt,UNKNOWN,UNKNOWN,https://www.instagram.com/ai_fredyfortich/ | https://parametric-architecture.com/top-10-ai-design-pages-instagram-2025/,2026-09-26,"Follower/Posts nicht öffentlich abrufbar (IG-Login-Wall, keine Snippets). "
