rang_score,id,kombination,markt,kaufintention_1_5,klicks_pro_1m_conservative,bestellungen_pro_1m_conservative,provision_pro_1m_eur_conservative,klicks_pro_1m_base,bestellungen_pro_1m_base,provision_pro_1m_eur_base,klicks_pro_1m_strong,bestellungen_pro_1m_strong,provision_pro_1m_eur_strong,klicks_pro_1m_exceptional,bestellungen_pro_1m_exceptional,provision_pro_1m_eur_exceptional,epc_base_eur,views_fuer_5k_gewinn_base,views_fuer_10k_gewinn_base,views_fuer_20k_gewinn_base,views_fuer_5k_gewinn_strong,views_fuer_10k_gewinn_strong,views_fuer_20k_gewinn_strong,realistische_views_monat12_base,realistische_views_monat12_strong,realistische_views_monat12_exceptional,gewinn_monat_bei_realistischen_views_base_szenario,gewinn_monat_bei_strong_views_strong_szenario,gewinn_monat_bei_exceptional_views_exceptional_szenario,contentkosten_pro_1m_views_bei_base_reichweite_eur,annahmen
1,K32,Kitchen & Coffee Setups – EN/US,EN,4,112,1.3,4,660,15.2,56,1860,76.5,311,5100,298.4,1233,0.085,99304757,187969719,365299642,18029581,34127420,66323100,5000000,20000000,50000000,-318,5612,61033,120,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
12,K10,Backyard Wellness (Sauna/Plunge) – US,US,3,84,0.3,3,495,4.1,43,1395,20.5,277,3825,81.1,1256,0.086,131324786,248579060,483087607,20206022,38247114,74329296,1500000,5000000,12000000,-536,786,14475,400,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
13,K02,Desk Setups – DE/DACH,DE,4,180,1.8,4,960,19.4,41,2550,88.0,207,6600,318.5,772,0.043,135887297,257215240,499871127,27074160,51247518,99594233,1000000,4000000,10000000,-559,227,7116,600,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
14,K29,AI Dream Interiors / Luxury Homes – EN,EN,2,56,0.5,1,330,6.2,19,930,31.2,111,2550,124.9,492,0.058,292478724,553620441,1075903876,50491883,95573922,185737999,5000000,20000000,50000000,-504,1618,24014,120,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
15,K23,Hundeprodukte – DE,DE,4,180,2.2,3,960,24.2,41,2550,107.1,187,6600,396.0,724,0.043,135400656,256294099,498080984,29947439,56686224,110163794,2000000,7000000,20000000,-517,709,13880,300,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
16,K11,Garten-Wellness (Sauna/Whirlpool/Pool) – DE,DE,3,135,0.6,3,720,6.5,51,1912,29.8,272,4950,112.9,1175,0.071,109319996,206927134,402141412,20619601,39029958,75850674,500000,2000000,5000000,-574,-57,5276,1200,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
17,K28,3D-Druck & Maker – US,US,4,112,1.2,6,660,14.1,86,1860,71.1,481,5100,277.3,1900,0.13,65485881,123955418,240894492,11647686,22047406,42846846,1500000,5000000,12000000,-472,1804,22200,400,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
18,K03,Gaming Setups – EN/INT,EN,3,66,0.9,1,405,11.1,16,1238,59.9,89,3488,240.6,369,0.039,354856652,671692949,1305365542,62594173,118481827,230257135,5000000,20000000,50000000,-521,1189,17848,120,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
19,K05,Home Decor Finds – US,US,4,112,1.6,3,660,18.8,34,1860,94.4,190,5100,376.1,825,0.051,166171541,314538988,611273882,29507207,55852928,108544369,5000000,20000000,50000000,-431,3196,40650,120,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
20,K22,Camping & Power Stations – DE,DE,3,135,1.1,4,720,11.7,53,1912,53.4,289,4950,193.1,1090,0.074,105801961,200267998,389200071,19362865,36651138,71227683,1000000,4000000,10000000,-547,557,10300,600,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
21,K15,Amazon-Fundstücke Gadgets – DE,DE,5,216,3.0,2,1152,32.1,27,3060,143.2,130,7920,518.8,485,0.024,205324212,388649401,755299780,43155932,81688013,158752177,2000000,7000000,20000000,-545,308,9105,300,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
22,K14,Tech Gadgets / Amazon Finds – EN/US,EN,5,135,2.5,3,792,29.2,33,2232,144.6,171,6120,566.1,689,0.042,167696134,317424826,616882208,32783367,62054230,120595957,5000000,20000000,50000000,-433,2816,33835,120,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
23,K21,Golf-Simulatoren & Golf-Tech – US,US,3,84,0.6,3,495,7.2,41,1395,35.9,261,3825,141.5,1187,0.082,137648626,260549184,506350301,21480266,40659075,79016692,1500000,5000000,12000000,-539,704,13649,400,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
24,K18,Beauty & Skincare – DE,DE,4,180,2.2,6,960,23.0,64,2550,104.6,305,6600,382.8,1149,0.067,87329744,165302729,321248700,18339181,34713450,67461988,2000000,7000000,20000000,-472,1538,22383,300,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
25,K19,Beauty Devices – US,US,4,112,1.1,10,660,13.2,127,1860,65.1,639,5100,255.0,2583,0.192,44202970,83669907,162603782,8767970,16596515,32253605,3000000,10000000,25000000,-220,5787,63984,200,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
26,K16,Smart Home – DE,DE,3,135,1.4,3,720,15.6,32,1912,70.6,164,4950,255.4,612,0.045,172555297,326622527,634756987,34141137,64624295,125590611,1000000,4000000,10000000,-568,56,5517,600,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
27,K27,Home Gym – US,US,3,84,0.9,2,495,10.6,33,1395,52.9,184,3825,206.6,731,0.067,168796756,319508146,620930925,30445676,57629315,111996594,3000000,10000000,25000000,-500,1239,17674,200,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
28,K20,Fashion 'Shop the Look' – DE,DE,4,180,1.4,4,960,15.4,48,2550,74.0,290,6600,277.2,1284,0.05,116539355,220592350,428698341,19283035,36500031,70934022,2000000,7000000,20000000,-504,1433,25082,300,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
29,K24,Autozubehör & Pflege – DE,DE,4,180,2.3,3,960,24.8,38,2550,111.2,184,6600,402.6,686,0.039,147833433,279827569,543815842,30501089,57734205,112200436,1000000,4000000,10000000,-562,134,6260,600,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
30,K26,Garten & Gartendesign – DE,DE,3,135,1.1,2,720,12.2,31,1912,57.4,165,4950,217.8,691,0.043,181652448,343842135,668221507,34036087,64425451,125204179,1000000,4000000,10000000,-569,58,6309,600,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
31,K30,Travel Destinations / Dream Trips – EN,EN,2,56,0.1,1,330,1.7,15,930,9.3,93,2550,38.2,407,0.047,361644092,684540603,1330333625,60152495,113860080,221275250,5000000,20000000,50000000,-523,1262,19741,120,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
32,K25,Schlaf & Matratzen – US,US,2,56,0.4,3,330,4.8,49,930,24.2,292,2550,96.9,1393,0.15,113434774,214715822,417277918,19195921,36335135,70613565,1500000,5000000,12000000,-526,859,16112,400,Views = organische Reel-Views; Klicks = monetarisierbare Affiliate-Klicks (nach Geo); Gewinn = Provision − 600 € Kosten/Monat; alles MODEL ASSUMPTION
