handle,account_type,content_mode,affiliate_any,affiliate_amazon,amazon_storefront,affiliate_ltk,affiliate_shopmy,own_shop,services_b2b,digital_or_course,newsletter,membership,app_saas,real_estate_or_booking,sponsored_seen,deals_seen,brand_contact,comment_kw_dm_funnel,any_revenue_path,nothing_observed,followers,n_reels_sample,median_views,median_adj_factor,mode_group
elarch.studio,designer_studio,3d_render,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,540000.0,3,5500000.0,13.19983217689468,3d/mixed/unknown
elitebuildhq,ai_creator,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,2000000.0,6,4000000.0,2.666877541903806,AI
ell.glamhome,lifestyle_influencer,real,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,1000000.0,2,4750000.0,3.050996816179068,real
eloisepreen,lifestyle_influencer,real,True,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,,4,2102000.0,,real
em_henderson,lifestyle_influencer,real,True,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,True,False,1000000.0,1,3600000.0,5.203309179095555,real
exploringdreamhomes,theme_page,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,177000.0,5,556000.0,2.1568628984560347,AI
facade_designn,theme_page,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,47000.0,6,678000.0,9.657959960859756,3d/mixed/unknown
georgios_tataridis,designer_studio,3d_render,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,321000.0,2,2630500.0,3.279912647675343,3d/mixed/unknown
glashaus.realestate,real_estate,real,False,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,True,False,296000.0,5,791000.0,4.5073656326394325,real
hafezi.architects,architect,unknown,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,True,False,606000.0,4,368000.0,1.1512510615583502,3d/mixed/unknown
harmosai,other,unknown,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,57000.0,7,468000.0,1.9918846072120784,3d/mixed/unknown
homeofmerve,lifestyle_influencer,unknown,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,459000.0,1,13100000.0,12.22695975090852,3d/mixed/unknown
idw.design,designer_studio,AI,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,318000.0,3,226000.0,1.7269987513808014,AI
ifonly.ai,ai_creator,AI,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,1000000.0,1,136000000.0,199.63901341458137,AI
ihsansamhoun.interiors,theme_page,3d_render,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,169000.0,4,333000.0,0.7801541415042847,3d/mixed/unknown
imaginativemike,ai_creator,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,506000.0,3,336000.0,0.3196391759322189,3d/mixed/unknown
insmultiverse,ai_creator,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,79000.0,4,322000.0,2.8552574663297308,AI
juliagal_,lifestyle_influencer,real,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,4000000.0,4,4591500.0,4.3504382345095,real
karissa.brighton,lifestyle_influencer,real,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,,2,19198000.0,,real
luxhilspace,designer_studio,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,71000.0,3,87700.0,0.216601864924196,AI
luxquisit,ai_creator,AI,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,True,False,190000.0,4,541000.0,1.427214607532243,AI
luxurydreamhub,theme_page,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1000000.0,16,868500.0,0.6972217112070693,AI
luxuryhouseview,theme_page,mixed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,389000.0,10,158000.0,0.6481073411829925,3d/mixed/unknown
miladeshtiyaghi,architect,AI,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,642000.0,5,381000.0,1.26536095077034,AI
montani3d,education_course,AI,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,True,False,603000.0,4,684500.0,0.9803493558281282,AI
myplants.uae,contractor_trade,AI,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,123000.0,2,8278500.0,19.842283344493417,AI
naturesms,theme_page,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,10000000.0,8,386000.0,0.2835383274765278,AI
nesthome.03,theme_page,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,39000.0,3,102000.0,1.2706840897562617,AI
neuraltransform,ai_creator,AI,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,83000.0,3,1600000.0,1.849932765219084,AI
nostalgicraindrops,theme_page,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,713000.0,3,3900000.0,1.940170849196556,AI
olena_prykhodko_design,designer_studio,unknown,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,308000.0,3,1000000.0,0.7620935900705118,3d/mixed/unknown
paulmarkkitchens,contractor_trade,real,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,True,False,304000.0,3,68350000.0,44.00688418300375,real
recastliving,ai_creator,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,47000.0,2,904500.0,3.2125649972521257,AI
rendair.ai,brand_manufacturer,AI,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True,False,189000.0,3,138000.0,3.488326516681287,AI
roomify.design,theme_page,unknown,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,62000.0,7,337000.0,1.84921359018478,3d/mixed/unknown
siriorsinterior,designer_studio,3d_render,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,547000.0,2,2104000.0,9.147013333389436,3d/mixed/unknown
siyad_abdali,theme_page,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,4000000.0,6,4550000.0,5.672994753218346,AI
soothenests,ai_creator,AI,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,2000000.0,4,6950000.0,3.334233439290731,AI
starlight_retreats,theme_page,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,,3,1100000.0,,3d/mixed/unknown
stylishnorrastudios,designer_studio,AI,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,40000.0,2,2227500.0,11.280231563475883,AI
styltechinterior_official,designer_studio,real,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,201000.0,5,405000.0,0.3833235426020042,real
sunt_mrr,ai_creator,AI,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,2000000.0,9,2900000.0,3.090435969563165,AI
syifa_in_switzerland,lifestyle_influencer,real,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,3000000.0,3,6600000.0,33.534863845204924,real
theluxuryhomeshow,media_publication,real,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,2000000.0,9,202000.0,0.2744992582474705,real
thetrillionairelife,media_publication,AI,False,False,False,False,False,False,False,False,True,True,False,False,True,False,True,False,True,False,13000000.0,3,1100000.0,1.9645307144693065,AI
travelask.world,media_publication,mixed,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,681000.0,6,1300000.0,3.70315851212285,3d/mixed/unknown
uniqchalets,theme_page,real,False,False,True,False,False,False,True,False,True,True,False,True,False,True,True,False,True,False,684000.0,4,1475500.0,0.8652109591244993,real
urban_lifestyle_lab,other,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,250000.0,4,1060000.0,4.673374915889468,3d/mixed/unknown
visionbuildofficial,other,unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,50000.0,3,2300000.0,5.308529636190896,3d/mixed/unknown
vrishtidesigns,designer_studio,3d_render,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,2000000.0,4,466000.0,0.9352294438496902,3d/mixed/unknown
watchthebuild,theme_page,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,107000.0,4,497000.0,2.294400839253452,AI
wayup_media,media_publication,real,False,False,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True,False,942000.0,12,3050000.0,2.2285119902504724,real
yourfantasyhomes,theme_page,AI,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,23000.0,3,24800.0,0.8486030292435336,AI
zaxzaaafrica,designer_studio,AI,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,65000.0,2,650000.0,2.1255685738496526,AI
