shortcode,url,handle,posted_at_utc,age_days,views,views_text,status_views,followers,followers_source,status_followers,vpf,tier,likes,comments,likes_per_view,comments_per_view,topic_index,topic_pct,topics,topic_groups,primary_group,location_any,status_codes,n_topics,post_year,post_hour_utc,post_weekday,meta_status,visual_status,media_type,followers_text,followers_at_fetch,posts_at_fetch,caption_len,caption_hashtags,caption_has_question,caption_emojis,caption_mentions,caption_link_hint,caption_comment_cta,caption_full,coder,room_primary,building_type,landscape,style_primary,style_secondary,palette_temp,brightness,lighting,view_through_window,people_present,cover_text,realism,production,production_evidence,shoppability,visual_quality,notable,caption_hook_category,caption_first_line,cta_type,location_claimed,price_claimed,ai_disclosed,account_kind_hint,language,rooms_visible,dominant_colors,materials,ambience_fx,cover_hooks,comments_per_like,views_per_day,adj_resid,adj_factor,location,location_from_topic,caption_len_bucket,hashtag_bucket,follower_bucket
ChRZ_TIsdTL,https://www.instagram.com/reel/ChRZ_TIsdTL/,mina__casa,2022-08-15T07:35:40.138000+00:00,1501,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",162000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",6.790123456790123,4_VIRAL,32650.0,241.0,0.02968181818181818,0.0002190909090909091,5.699481865284974,1.0,luxury-dining-room,luxury_room,luxury_room,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2022,7,Mon,ok,ok,reel,162K followers,162000.0,1904.0,284,29,False,2,1,False,False,Dining room 👏🏻 @ridgehome #home #design #mydubai #interior #interiordesign #decor #decoration #doha #istanbul #losangeles #sandiego #livingroom #bedroom #lux #luxury #luxurylife #love #cairo #تصميم #دبي #قطر #luxurylifestyle #بغداد #ديكور #ديكورات #dubai #positivevibes #summer #italy,cover-v2-embed,dining,none_visible,none,classical_luxury,glam_feminine,warm,medium,mixed,False,False,,real_existing,real_footage,"phone footage of a real home (air-conditioning unit and framed pictures visible in mirror reflection), compression softness",medium,medium,A floor-to-ceiling beveled mirror wall doubles the crystal chandeliers and a curved wrought-iron staircase behind a marble dining table with red roses in blue-and-white vases.,descriptive,Dining room 👏🏻 @ridgehome #home #design #mydubai #interior #interiordesign #decor #decoration #doha #istanbul #losangele,none,,,False,theme_page,en,dining;stairs_hall,white;beige;red;gold,marble;glass;metal;fabric;plants,none,none,0.007381316998468606,732.8447701532311,0.8473870391609134,7.036991706083174,,,151-400,21+,100k-500k
C30sh8FNde1,https://www.instagram.com/reel/C30sh8FNde1/,ivan.honcharenko,2024-02-26T20:01:46.467000+00:00,941,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",169000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",6.508875739644971,4_VIRAL,60702.0,181.0,0.055183636363636365,0.00016454545454545454,6.5828845002992225,0.8333333333333334,minimalist-interior,style,style,Other,ESTIMATED (AI-assisted coding of cover frame + caption),1,2024,20,Mon,ok,ok,reel,169K followers,169000.0,831.0,291,2,False,0,0,False,False,"Step into the epitome of modern minimalism in our latest interior design project in a Kiev apartment. This stunning space embodies simplicity and elegance, showcasing the beauty of natural materials and functional design.  Signature 100 project Kyiv, Ukraine 2023 #minimalism #interiordesign",cover-v2-embed,bathroom,apartment,none,organic_modern,minimalist,warm,dark,night_artificial,False,False,,aspirational_realistic,3d_render,photoreal CG visualization of a design project with flawless stone textures and staged lighting; caption frames it as a design project,medium,high,"A moody travertine bathtub on a curved stone plinth beside the bed, lit by a soft pendant against a rough stone wall.",descriptive,Step into the epitome of modern minimalism in our latest interior design project in a Kiev apartment. This stunning spac,none,"Kyiv, Ukraine",,False,designer_studio,en,bathroom;bedroom,brown;beige;grey,natural_stone;wood;plaster;fabric;metal,none,none,0.002981779842509308,1168.9691817215728,0.6921521412708018,4.9221193629260656,Other,,151-400,1-3,100k-500k
C_mcD3vCp-R,https://www.instagram.com/reel/C_mcD3vCp-R/,anrcreativedesign,2024-09-07T03:19:38.679000+00:00,747,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",410000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",2.682926829268293,3_VERY_GOOD,31802.0,134.0,0.02891090909090909,0.00012181818181818181,2.1825396825396823,0.75,interior-design-ideas,interior_generic,interior_generic,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2024,3,Sat,ok,ok,reel,410K followers,410000.0,1848.0,52,2,False,1,0,False,False,Happy weekend ✨ #interiordesign #interiordesignideas,cover-v2-embed,living_room,none_visible,none,modern_luxury,warm_luxury,warm,bright,mixed,False,False,HOUSE THEME inspirations,real_existing,real_footage,"real camera footage: motion-blurred ceiling fan blades, CCTV dome camera on the ceiling, TV showing a live image, natural lens perspective",high,high,"Real beige living room anchored by an oversized gold-branch crystal chandelier and marble TV wall, with a bold 'HOUSE THEME inspirations' title overlay.",descriptive,Happy weekend ✨ #interiordesign #interiordesignideas,none,,,False,designer_studio,en,living_room,beige;white;gold;grey,marble;fabric;glass;metal;wood;plants,none,text_overlay,0.004213571473492233,1472.5568942436412,0.15555943566587416,1.4307357717366256,,,51-150,1-3,100k-500k
DPhXga8DAYK,https://www.instagram.com/reel/DPhXga8DAYK/,nycshahrealty,2025-10-07T20:25:57.329000+00:00,352,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",,,UNKNOWN,,,,,,,0.7333333333333333,0.5,luxury-penthouse,luxury_home,luxury_home,,ESTIMATED (caption only),1,2025,20,Tue,removed,no_cover,unknown,,,,0,0,False,0,0,False,False,,cover-v2-embed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3125.0,,,,,0,0,
DXywRV_ROaj,https://www.instagram.com/reel/DXywRV_ROaj/,jordmerritt,2026-05-01T10:40:35.543000+00:00,146,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",76000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",14.473684210526315,4_VIRAL,70532.0,532.0,0.06412,0.00048363636363636366,2.0735155513666355,0.8333333333333334,cabin,unusual_home,unusual_home,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2026,10,Fri,ok,ok,reel,76K followers,76000.0,1631.0,136,4,False,0,0,False,False,Throwback to last summer! Excited to get some work done upta camp this year.  Lots of work to be done!  #camp #aframe #renovation #cabin,cover-v2-embed,none_person_only,none_visible,forest,other,,neutral,bright,daylight,False,True,Renovating my A-frame camp (Part 1),real_existing,real_footage,handheld selfie-style phone video of creator talking to camera outdoors,low,medium,Face-to-camera creator in cap and safety glasses kicking off a 'Part 1' A-frame camp renovation series.,descriptive,Throwback to last summer! Excited to get some work done upta camp this year.,none,,,False,lifestyle_influencer,en,none_person_only,navy;green;blue;grey,plants,none,text_overlay;person,0.007542675664946407,7534.246575342466,0.24384289191584999,1.7532461420181402,,,51-150,4-10,10k-100k
DYulZq-gCHY,https://www.instagram.com/reel/DYulZq-gCHY/,sellingdestin,2026-05-24T16:20:02.518000+00:00,123,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",30000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",36.666666666666664,5_EXTREME_OUTLIER,67513.0,601.0,0.061375454545454546,0.0005463636363636364,7.1754729288975865,0.9166666666666666,beach-house,unusual_home,unusual_home,Miami/Florida,ESTIMATED (AI-assisted coding of cover frame + caption),1,2026,16,Sun,ok,ok,reel,30K followers,30000.0,710.0,952,4,False,0,0,False,True,"Whoever said money can't buy happiness clearly never bought a beach house in Florida and let Airbnb guests cover the mortgage.  Now your ""vacation house"" becomes an income producing property on one of the most desirable stretches of coastline in Florida.  Morning coffee overlooking the Gulf. Sunburnt naps before dinner. And guests paying thousands to experience the same Gulf Coast lifestyle people dream about all year.  That's why so many people are looking into buying a beach house in Florida and turning it into a short term rental investment. Because the right property isn't just a flex anymore… it's a strategy.  FOLLOW ME If you've been thinking about owning an Airbnb in Destin or on 30A, investing in Florida beach real estate, or learning how vacation rentals really work, comment AIRBNB and I'll send you my free guide. Not financial advice. Talk to CPA to see what fits your situation #AIRBNB #investmentopportunity #beachhouse #florida",cover-v2-embed,terrace_outdoor,house,ocean_beach,other,,cool,medium,overcast_rain,False,False,Turns out buying the beach house and letting Airbnb guests pay the mortgage actually works.,real_existing,real_footage,"wide-angle phone footage of a real beachfront patio (grill, trash bin, dune grass visible)",medium,medium,"Framed view of turquoise Gulf water from a shaded patio, paired with an Airbnb-pays-the-mortgage money hook overlay.",money,Whoever said money can't buy happiness clearly never bought a beach house in Florida and let Airbnb guests cover the mor,comment_keyword,"Destin / 30A, Florida",,False,real_estate,en,terrace_outdoor,grey;blue;turquoise;beige,wood;rattan;fabric;concrete,ocean_waves,text_overlay;view_reveal,0.008901989246515486,8943.08943089431,0.733756637273103,5.416972580270219,Miami/Florida,,401-1000,4-10,10k-100k
Cgr1F7ygmyn,https://www.instagram.com/reel/Cgr1F7ygmyn/,flexicube.pl,2022-07-31T17:21:21.854000+00:00,1516,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",227000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",4.845814977973569,3_VERY_GOOD,25268.0,224.0,0.02297090909090909,0.00020363636363636363,2.1956087824351296,0.875,container-house,unusual_home,unusual_home,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2022,17,Sun,ok,ok,reel,227K followers,227000.0,917.0,397,30,False,2,0,False,False,L30 home with building area 30m2 ✨🏡  #compactliving #containerhome #containerhouse #container #shippingcontainer #shippinhcontainerhome #home #house #containerarchitecture #tinyhomes #tinyhouse #dreamhome #dreamhouse #cabin #cabinlife #tinyliving #homeinspo #homeideas #berlin #frankfurt #airbnb #guesthouse #flexicube #flexicubepl #containeroffice #office #room #weekendvibes #homesweethome #haus,cover-v2-embed,exterior_facade,unusual_structure,none,industrial,minimalist,neutral,medium,daylight,False,False,,real_existing,real_footage,"real camera footage of a finished unit in a paved factory yard next to a rusty shipping container, real reflections and sky",medium,high,"Matte-black shipping-container home with a full glass end wall stands in a factory yard, showing a bright finished interior that makes a 30 m2 prefab look move-in ready.",descriptive,L30 home with building area 30m2 ✨🏡,none,,,False,brand_manufacturer,en,exterior_facade;other,black;white;grey;terracotta,metal;glass;wood;concrete,none,exterior_reveal;unusual_architecture,0.008864967547886656,725.5936675461742,0.33406133942217686,2.1580491888541444,,,151-400,21+,100k-500k
C-96Rg-saWK,https://www.instagram.com/reel/C-96Rg-saWK/,urban_containers_homes,2024-08-22T09:34:47.382000+00:00,763,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",37100.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",29.649595687331537,5_EXTREME_OUTLIER,1341.0,66.0,0.001219090909090909,6e-05,2.1956087824351296,0.875,container-house,unusual_home,unusual_home,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2024,9,Thu,ok,ok,reel,37.1K followers,37100.0,74.0,115,6,False,0,0,False,False,Model UCH401 28m2 + terasa  #container #containerslovers #containerhomedesigns #offgrid #zivotvansistema #mobilhome,cover-v2-embed,exterior_facade,unusual_structure,none,industrial,minimalist,neutral,bright,daylight,False,False,,real_existing,real_footage,real phone photo/footage with reflections of an industrial yard and parked car in the glass,medium,high,Crisp low-angle shot of a black corrugated container home with warm wood soffit and deck under a blue sky.,promotional,Model UCH401,none,,,False,brand_manufacturer,other,exterior_facade;terrace_outdoor,blue;grey;brown;white,metal;wood;glass,none,exterior_reveal,0.049217002237136466,1441.6775884665792,0.7019733603638774,5.034697249931669,,,51-150,4-10,10k-100k
DXoxkiRAfVG,https://www.instagram.com/reel/DXoxkiRAfVG/,marleyandsamhomediy,2026-04-27T13:39:32.731000+00:00,150,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",110000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",10.0,4_VIRAL,26492.0,88.0,0.024083636363636363,8e-05,0.3728813559322034,0.3333333333333333,modern-architecture,architecture,architecture,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2026,13,Mon,ok,ok,reel,110K followers,110000.0,166.0,805,10,True,7,0,False,False,"Old House Exterior to Modern Zen Facade ⛩️🌿 First impressions are everything! 🛑✨  We completely reimagined our home's exterior to create a peaceful, modern entrance. By combining clean architectural lines with a Zen-inspired garden, we've turned a standard neighborhood facade into a minimalist sanctuary. We used sustainable materials, strategic lighting, and a curated selection of plants to achieve that high-end, tranquil vibe. Curb appeal: Levelled up! 🤍🏡  ¡Cambiamos por completo la cara de nuestra casa! De una fachada común a una entrada moderna con estilo Zen que transmite paz desde que llegas. ¿Qué te parece este cambio para el barrio? 👇  #CurbAppeal #ModernFacade #ZenGarden #ExteriorDesign #HomeRenovation #MarleyAndSamHome #ModernArchitecture #FrontYardMakeover #FachadaModerna #DIYExterior",cover-v2-embed,exterior_facade,house,none,minimalist,organic_modern,neutral,medium,overcast_rain,False,True,,aspirational_realistic,ai_generated,"hanging planters oddly suspended from the wall-sconce fixtures, over-smooth textures and generically posed couple typical of AI video; not disclosed in caption",medium,high,"A couple in matching overalls finishing a grey-stucco facade with a warm timber door, glowing sconces and concrete succulent planters - a DIY makeover 'after' shot.",descriptive,Old House Exterior to Modern Zen Facade ⛩️🌿,question_engagement,,,False,lifestyle_influencer,en,exterior_facade;garden_landscape,grey;brown;green;pink,plaster;concrete;wood;glass;plants;metal,none,person;exterior_reveal;door_or_threshold,0.0033217575117016457,7333.333333333333,-0.21332587416408463,0.6118910851185309,,,401-1000,4-10,100k-500k
DA_euRjtll8,https://www.instagram.com/reel/DA_euRjtll8/,kimiyarc,2024-10-11T17:15:19.072000+00:00,713,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",70000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",15.714285714285714,4_VIRAL,88260.0,241.0,0.08023636363636363,0.0002190909090909091,3.8596491228070176,0.8333333333333334,architecture-design,architecture,architecture,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2024,17,Fri,ok,ok,reel,70K followers,70000.0,160.0,145,6,False,1,0,False,False,-plan a: become a successful architect -plan b: plan a ✨  __________________ #معماری #معمار #پلان_معماری #دانشجو_معماری #معماریداخلی #معماری_مدرن,cover-v2-embed,exterior_facade,apartment,none,other,,neutral,bright,daylight,False,True,plan A : 🫀,real_existing,real_footage,"real low-angle phone footage on a city street: parked cars, taxi, scaffolding and crane on an unfinished high-rise",low,medium,"A woman in wide white trousers poses in front of a scaffolded high-rise under construction with a tower crane, overlaid with 'plan A :' and an anatomical-heart emoji, an architecture-student meme.",aspirational,-plan a: become a successful architect,none,,,False,lifestyle_influencer,en,exterior_facade,blue;white;beige;brown,concrete;metal,none,text_overlay;person;dramatic_scale,0.002730568774076592,1542.7769985974755,0.25256926989459116,1.7888308245613542,,,51-150,4-10,10k-100k
DbYGPLAJUML,https://www.instagram.com/reel/DbYGPLAJUML/,dubai._lovers,2026-07-29T12:18:37.017000+00:00,57,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",,,UNKNOWN,,,,,,,0.2972972972972973,0.4166666666666667,dubai-luxury,location,location,Dubai/UAE,ESTIMATED (caption only),1,2026,12,Wed,removed,no_cover,unknown,,,,0,0,False,0,0,False,False,,cover-v2-embed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19298.245614035088,,,,Dubai/UAE,0,0,
DX61ggcTaA3,https://www.instagram.com/reel/DX61ggcTaA3/,banjaran.mag,2026-05-04T14:00:16.657000+00:00,143,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",1000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",1100.0,5_EXTREME_OUTLIER,28884.0,4330.0,0.02625818181818182,0.003936363636363636,6.790123456790123,0.9166666666666666,bali-villa,location,location,Bali/Indonesia,ESTIMATED (AI-assisted coding of cover frame + caption),1,2026,14,Mon,ok,ok,reel,1K followers,1000.0,89.0,1123,5,True,0,0,False,True,"If you want details of this exact stay, comment ""villa"" and I'll DM it to you.  We found this villa on Airbnb after going deep into options to get the location and property right. ₹1895 per person per night (shared between 4), so around ₹7500 for the entire villa without food. We were eating out most of the time anyway, so it worked out.  If it's your first time, where you stay will define your trip. Seminyak for walkable, central, easy. Canggu for a slower, café-heavy vibe. Uluwatu for views and beach clubs, but expect travel. Planning Nusa Penida? Stay closer to Sanur for easier ferry access.  Bali is a traveller's dream, but it's also crowded. You feel it quickly. What changes everything is finding your own pocket within it.  Save this so future you isn't 15 tabs deep, confused between Seminyak and Canggu, trying to pick the perfect villa stay.  #balivilla #balivillarental #ilovebali #balitrip #balitips  (bali villas, bali travel guide, bali travels reels, bali airbnb, cangu bali, canggu bali stay, seminyak stay, bali uluwatu, bali tips, villas in bali, villa in canggu, affordable luxury villas in bali)",cover-v2-embed,pool,villa,none,tropical,minimalist,neutral,bright,daylight,False,False,,real_existing,real_footage,sunlit phone footage with natural water ripples and hard shadows; caption describes a real Airbnb stay in Bali,low,high,"A sunlit teal plunge pool leads to wooden French doors of a white-walled Bali villa lined with tropical plants under a blue sky, with no text overlay.",promotional,"If you want details of this exact stay, comment ""villa"" and I'll DM it to you.",comment_keyword,"Bali (Seminyak, Canggu, Uluwatu, Nusa Penida, Sanur mentioned)",₹1895 per person per night; around ₹7500 for the entire villa,False,lifestyle_influencer,en,pool;exterior_facade,white;teal;blue;brown,water;plants;wood;glass;plaster;natural_stone;fabric,none,pool;door_or_threshold,0.14990998476665282,7692.307692307692,1.5289672573528015,33.80393495353754,Bali/Indonesia,Bali/Indonesia,1000+,4-10,<10k
DCiwkj5TNk4,https://www.instagram.com/reel/DCiwkj5TNk4/,the.sky_realtors,2024-11-19T06:36:05.451000+00:00,674,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",53000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",20.754716981132077,5_EXTREME_OUTLIER,39157.0,626.0,0.03559727272727273,0.0005690909090909091,30.013642564802183,1.0,santorini-villa,location,location,Santorini/Mykonos/Greece,ESTIMATED (AI-assisted coding of cover frame + caption),1,2024,6,Tue,ok,ok,reel,53K followers,53000.0,377.0,741,17,False,13,0,False,False,"Santorini Island 🏝️ 💙  A villa surrounded by nature & crafted with greek elegance has to be on your bucket list to buy next.  Buyers , Retailers & Investors details are below 👇  santorini villaa price ₹36 lacs (900 sq.ft) & plot starting from ₹20 lacs ☝🏻😎  📍 Location - Santorini Island 🏝️, Near Navakhal , Vadodara , Gujarat.  🏡 Sample house shown in video. Details are mentioned below 👇🏻  ▫️Plot Area - 2000 sq.ft 🔹Built Up Area - 1500 sq.ft ▫️Price - 20 lacs ( Plot ) ₹36 lacs (villa)  📱 Contact Number : 7016325717 | 9904999197.  #theskyrealtors #villa #vadodararealestate #realestate #realestateindia #weekend #propertymanagement #kemchhovadodara #ourvadodara #reelsinstagram #reelindia #reel #vadodara #homes #garden #Santorini #greece",cover-v2-embed,other,none_visible,none,minimalist,,cool,medium,daylight,False,False,"THE SKY Realtors THE NEW PROJECT Contact us : +91-7016325717 theskyrealtors01@gmail.com www.theskydevelopers.com FF-29/D-wing,Siddheshwar business Harbour,NH-8 Kapurai waghodiya Learn More",aspirational_realistic,unclear,"designed promo card (logo, contact details) over a smooth stock-looking chair-and-plant scene that may be a render; not footage of the villa in the caption",medium,medium,"Branded 'THE NEW PROJECT' ad slate with phone, email and address over a minimalist chair scene; the cover shows none of the Santorini-themed villa the caption sells.",location,Santorini Island 🏝️ 💙,dm,"Santorini Island, Near Navakhal, Vadodara, Gujarat","₹36 lacs (villa, 900 sq.ft); plot from ₹20 lacs",False,real_estate,en,other,grey;white;blue;brown,fabric;metal;plaster;plants,none,text_overlay;empty_room,0.015986924432413105,1632.047477744807,1.254496546037283,17.967867901939506,Santorini/Mykonos/Greece,Santorini/Mykonos/Greece,401-1000,11-20,10k-100k
DMkljD9SygQ,https://www.instagram.com/reel/DMkljD9SygQ/,thetrillionairelife,2025-07-26T12:52:11.347000+00:00,425,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",13000000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",0.08461538461538462,1_NORMAL,45495.0,172.0,0.04135909090909091,0.00015636363636363637,22.494887525562373,0.8333333333333334,miami-mansion,location,location,Dubai/UAE,ESTIMATED (AI-assisted coding of cover frame + caption),1,2025,12,Sat,ok,ok,reel,13M followers,13000000.0,11651.0,88,3,True,1,0,False,False,Where do you think this Mansion is—Miami or Dubai? 🏡  #mansion #architecture #realestate,cover-v2-embed,exterior_facade,mansion,none,mediterranean,classical_luxury,warm,medium,golden_hour,False,False,Bro thinks he’s in a Netflix original 🏡,real_existing,real_footage,drive-by phone footage with motion-blurred foreground pavement and natural sunset sky,low,medium,"Drive-by shot of a gated white tile-roofed mansion with palm trees at sunset, framed by a meme-style 'Netflix original' text overlay.",question,Where do you think this Mansion is—Miami or Dubai? 🏡,question_engagement,"Miami or Dubai (posed as a question, not claimed)",,False,theme_page,en,exterior_facade,white;grey;orange;blue,plaster;metal;plants,none,text_overlay;exterior_reveal,0.0037806352346411694,2588.235294117647,0.2932588231810438,1.9645307144693063,Dubai/UAE,Miami/Florida,51-150,1-3,1M+
DTMyHgqDBTV,https://www.instagram.com/reel/DTMyHgqDBTV/,erolbrasco,2026-01-07T06:40:00.557000+00:00,260,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",64000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",17.1875,4_VIRAL,111894.0,382.0,0.10172181818181818,0.00034727272727272726,0.6666666666666666,0.5,amalfi-coast,location,location,Lake Como/Italy,ESTIMATED (AI-assisted coding of cover frame + caption),1,2026,6,Wed,ok,ok,reel,64K followers,64000.0,273.0,23,0,False,0,0,False,False,Goodmorning Positano 🇮🇹,cover-v2-embed,other,house,cliff,mediterranean,,cool,bright,daylight,False,False,,real_existing,real_footage,"Real phone footage of Positano town and beach with natural detail, boats and tiny beachgoers",low,high,Postcard view of Positano's colorful cliffside houses above a turquoise sea under a vivid blue sky.,location,Goodmorning Positano 🇮🇹,none,"Positano, Italy",,False,lifestyle_influencer,en,exterior_facade;terrace_outdoor,blue;turquoise;green;yellow,water;plants;natural_stone;plaster,ocean_waves,view_reveal;dramatic_scale,0.0034139453411264234,4230.7692307692305,0.3153708047698093,2.0671443501175197,Lake Como/Italy,Lake Como/Italy,1-50,0,10k-100k
DdRNq65o7pG,https://www.instagram.com/reel/DdRNq65o7pG/,losamigostulumgecesi,2026-09-14T13:11:40.620000+00:00,10,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",8000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",137.5,5_EXTREME_OUTLIER,16927.0,395.0,0.015388181818181818,0.0003590909090909091,1.1,0.6666666666666666,tulum,location,location,Other,ESTIMATED (AI-assisted coding of cover frame + caption),1,2026,13,Mon,ok,ok,reel,8K followers,8000.0,51.0,100,5,False,2,0,False,False,'Tulum Gecesi' 25 Eylül Cuma günü LosAmigos'ta!❤️‍🔥 . #horon #karadeniz #tulumgecesi #kemençe #tulum,cover-v2-embed,other,none_visible,none,other,,warm,medium,night_artificial,False,True,Vur İçeri Vur,real_existing,real_footage,"candid phone footage of people dancing hand in hand in a bar/event venue, fluorescent tube and LED strip lighting",low,medium,Folk-dance (horon) event clip in a dark venue with wood floor; off-topic for interior/architecture.,promotional,'Tulum Gecesi' 25 Eylül Cuma günü LosAmigos'ta!❤️‍🔥,none,LosAmigos (venue),,False,other,tr,other,black;brown;grey;orange,wood;fabric,none,text_overlay;person,0.023335499497843682,110000.0,0.4286324760655917,2.683072920418845,Other,Mexico/Tulum,51-150,4-10,<10k
DOwSo8WiXSG,https://www.instagram.com/reel/DOwSo8WiXSG/,starlight_retreats,2025-09-18T19:00:38.534000+00:00,371,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",,,UNKNOWN,,,,,,,1.7886178861788617,0.75,unique-airbnb,hotel_resort,hotel_resort,,ESTIMATED (caption only),1,2025,19,Thu,removed,no_cover,unknown,,,,0,0,False,0,0,False,False,,cover-v2-embed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2964.9595687331534,,,,,0,0,
DWbc3xADTyw,https://www.instagram.com/reel/DWbc3xADTyw/,mk.craft_house,2026-03-28T12:57:08.953000+00:00,180,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",1000000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",1.1,2_GOOD,24812.0,40.0,0.022556363636363635,3.6363636363636364e-05,1.116751269035533,0.5833333333333334,ai-home-design,ai,ai,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2026,12,Sat,ok,ok,reel,1M followers,1000000.0,543.0,42,0,False,0,0,False,False,This is how to design a modern living room,cover-v2-embed,living_room,apartment,lake_river,minimalist,,neutral,bright,mixed,True,False,minimal Space Design,real_existing,real_footage,phone-video look with compression noise and real reflections on glossy floor; Chinese UI text on TV screen,medium,medium,"Bright, glossy-white minimalist living room with a floating TV console and a bay window onto a river-and-city view, labelled 'minimal Space Design'.",instructional,This is how to design a modern living room,none,,,False,theme_page,en,living_room,white;beige;black;brown,wood;glass;plaster,none,text_overlay;view_reveal,0.0016121231662098985,6111.111111111111,-0.1380874805847957,0.7276332215297696,,,1-50,0,500k-1M
DUjrP7lkzqj,https://www.instagram.com/reel/DUjrP7lkzqj/,valroyco,2026-02-10T00:33:55.108000+00:00,226,1100000.0,1.1M,"VERIFIED (public topic page, rounded)",92000.0,embed_reel,"VERIFIED (public embed, rounded, at fetch)",11.956521739130435,4_VIRAL,,203.0,,0.00018454545454545454,2.3630504833512354,0.75,luxury-lifestyle,interior_generic,interior_generic,,ESTIMATED (AI-assisted coding of cover frame + caption),1,2026,0,Tue,ok,ok,reel,92K followers,92000.0,456.0,120,3,True,2,1,False,False,Rich Class⚜️  Are you ready to level up !!? ♨️ Follow and manifest now @valroyco  #discipline #luxurylifestyle #oldmoney,cover-v2-embed,lobby_common,hotel_resort,none,classical_luxury,dark_luxury,warm,dark,night_artificial,False,True,Rich Class,real_existing,real_footage,"low-light camera noise, real historic lobby with street and cars visible through doors",low,medium,Moody 'old money' shot of a suited man from behind under ornate lantern chandeliers and a painted vaulted ceiling; status mood rather than interior content.,status,Rich Class⚜️,follow,,,False,theme_page,en,lobby_common,black;brown;gold;cream,metal;natural_stone;wood;glass,none,text_overlay;person,,4867.256637168141,0.6251891405070539,4.218801973609862,,,51-150,1-3,10k-100k
