handle,url,plattform,nische_cluster,unter_nische,land_sprache,account_alter_oder_start,erstes_sichtbares_posting,start_datenqualitaet,follower_heute,follower_heute_datum,follower_heute_dq,follower_vor_30d,follower_vor_60d,follower_vor_90d,follower_vor_120d,follower_historie_quelle,follower_historie_dq,posts,posts_dq,posts_pro_woche,median_reel_views,median_dq,top_reel_url,top_reel_views,top_reel_datum,top5_reels,top_reels_dq,anzahl_reels_ueber_1m_bekannt,engagement_hinweis,ai_status,ai_beleg,ai_tools,klasse,emerging_outlier,affiliate_oder_monetarisierung_sichtbar,link_in_bio,quelle_urls,pruefdatum,notizen
@zeitlabofc (ZeitLab),https://www.youtube.com/@zeitlabofc,"YouTube (Long-Form, teils Shorts)",KI-Geschichte/Städte früher,"KI-Rekonstruktionen (Berlin um 1900, Germanen, Auschwitz 1942)",DE; Kanal-Land Brasilien,Kanal angelegt 2026-03-25,2026-03/04 (ESTIMATED),VERIFIED (YouTube About: Beitrittsdatum),10500,2026-09-26,"VERIFIED (YouTube About, gerundet)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,55,VERIFIED,"ca. 2,1 (ESTIMATED)",UNKNOWN,UNKNOWN,https://www.youtube.com/watch?v=7pCDpezQrEY,349085,2026-04-19,UNKNOWN,THIRD-PARTY OBSERVED (NexLev faceless_outliers_videos),UNKNOWN,Gesamtviews 1.291.948 (YouTube About),VERIFIED,Titel '(KI-Rekonstruktion)'; Beschreibung 'Wir nutzen Technologie...',UNKNOWN,Small (<25K),ja (Outlier-Score ~15),nein,keine,"https://www.youtube.com/@zeitlabofc/about ; NexLev faceless_outliers_videos (languages=german, isAiContent=true, Abruf 2026-09-26)",2026-09-26,Betreiber-Land Brasilien -> ausländischer Operator bedient DE-Markt (Arbitrage-Beleg). Auschwitz-Thema = hohes Reputationsrisiko.
@geschichte.lebt1 (Geschichte. Lebt.),https://www.youtube.com/@geschichte.lebt1,"YouTube (Long-Form, teils Shorts)",KI-Geschichte/Städte früher,"'Die gesamte Geschichte Berlins in 12 Minuten', 'Pompeji (KI-Rekonstruktion)'",DE; Land DE,Kanal angelegt 2026-02-06,2026-02 (ESTIMATED),VERIFIED (YouTube About: Beitrittsdatum),15900,2026-09-26,"VERIFIED (YouTube About, gerundet)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,47,VERIFIED,"ca. 1,4 (ESTIMATED)",UNKNOWN,UNKNOWN,https://www.youtube.com/watch?v=-agxZc-RUSQ,249946,2026-04-01,UNKNOWN,THIRD-PARTY OBSERVED (NexLev faceless_outliers_videos),UNKNOWN,Gesamtviews 3.783.321 (YouTube About),VERIFIED,About: 'Mit moderner KI-Technologie rekonstruieren wir historische Szenen',UNKNOWN,Small (<25K),ja (<8 Monate),nein,keine,"https://www.youtube.com/@geschichte.lebt1/about ; NexLev faceless_outliers_videos (languages=german, isAiContent=true, Abruf 2026-09-26)",2026-09-26,TikTok @geschichte.lebt (19 Follower) – Zuordnung unklar.
@ZeitspringerDE,https://www.youtube.com/@ZeitspringerDE,"YouTube (Long-Form, teils Shorts)",KI-Geschichte/Städte früher,'Rundgang durch Berlin 1709 (K.I. Rekonstruktion)',DE,Kanal angelegt 2026-04-08,2026-04 (ESTIMATED),VERIFIED (YouTube About: Beitrittsdatum),29600,2026-09-26,"VERIFIED (YouTube About, gerundet)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,90,VERIFIED,"ca. 3,7 (ESTIMATED)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Gesamtviews 3.079.951 (YouTube About),VERIFIED,Videotitel '(K.I. Rekonstruktion)' (YouTube oEmbed),UNKNOWN,Mid (25-100K),"ja (29,6K in <6 Monaten)",nein (nur Kontakt-Mail),kontakt@zeitspringer.info,"https://www.youtube.com/@ZeitspringerDE/about ; NexLev faceless_outliers_videos (languages=german, isAiContent=true, Abruf 2026-09-26)",2026-09-26,Kanal via WebSearch-Treffer 'Rundgang durch Berlin 1709'.
@Zeitbilder1 (ZEITBILDER),https://www.youtube.com/@Zeitbilder1,"YouTube (Long-Form, teils Shorts)",KI-Städte früher/heute,Historische Fotos 19. Jh. animiert ('Hamburg – 1890 | KI-Rekonstruktion'),DE; Land DE,Kanal angelegt 2025-12-28,2026-01 (ESTIMATED),VERIFIED (YouTube About: Beitrittsdatum),4840,2026-09-26,"VERIFIED (YouTube About, gerundet)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,6,VERIFIED,<1 (ESTIMATED),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Gesamtviews 372.122 (YouTube About),VERIFIED,About: 'Mit Hilfe moderner künstlicher Intelligenz verwandeln wir originale Bilder ... insbesondere aus Deutschland',UNKNOWN,Small (<5K),nein (zu wenig Output),nein,keine,"https://www.youtube.com/@Zeitbilder1/about ; NexLev faceless_outliers_videos (languages=german, isAiContent=true, Abruf 2026-09-26)",2026-09-26,"Nur 6 Videos, aber ~62K Views/Video -> Nachfrage > Angebot."
@PretimeHistory (Pretime),https://www.youtube.com/@PretimeHistory,"YouTube (Long-Form, teils Shorts)",KI-Städte früher/heute,Vergangene Städte/Gebäude KI-animiert (Berghof-Rekonstruktion),DE; Land DE,Kanal angelegt 2019-01-14,UNKNOWN,VERIFIED (YouTube About: Beitrittsdatum),2050,2026-09-26,"VERIFIED (YouTube About, gerundet)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,33,VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,https://www.youtube.com/watch?v=f6JEq_9vDc4,137351,2026-04-27,UNKNOWN,THIRD-PARTY OBSERVED (NexLev faceless_outliers_videos),UNKNOWN,Gesamtviews 313.646 (YouTube About),VERIFIED,About: 'mit moderner Technologie und KI-Animation neu interpretiert',UNKNOWN,Small (<5K),nein,nein,keine,"https://www.youtube.com/@PretimeHistory/about ; NexLev faceless_outliers_videos (languages=german, isAiContent=true, Abruf 2026-09-26)",2026-09-26,NS-Bauten-Thema = Reputationsrisiko.
@DeutschlandNacherzählt,https://www.youtube.com/@DeutschlandNacherz%C3%A4hlt,"YouTube (Long-Form, teils Shorts)",KI-Nostalgie (BRD/DDR),'Was man 1975 in Deutschland für 10 Mark kaufen konnte',DE; Land DE,Kanal angelegt 2026-01-03,2026-01 (ESTIMATED),VERIFIED (YouTube About: Beitrittsdatum),7010,2026-09-26,"VERIFIED (YouTube About, gerundet)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,106,VERIFIED,"ca. 2,8 (ESTIMATED)",UNKNOWN,UNKNOWN,https://www.youtube.com/watch?v=FgLeQv40d9E,317801,2026-04-24,UNKNOWN,THIRD-PARTY OBSERVED (NexLev faceless_outliers_videos),UNKNOWN,Gesamtviews 2.080.924 (YouTube About),LIKELY,NexLev isAiContent=true (faceless_outliers); keine Selbstbezeichnung,UNKNOWN,Small (<25K),ja (Outlier-Score ~16),nein,keine,"https://www.youtube.com/@DeutschlandNacherz%C3%A4hlt/about ; NexLev faceless_outliers_videos (languages=german, isAiContent=true, Abruf 2026-09-26)",2026-09-26,Stärkster Beleg für DE-Nostalgie-Nachfrage (1975/10 Mark).
@WundersameErinnerungen,https://www.youtube.com/@WundersameErinnerungen,"YouTube (Long-Form, teils Shorts)",KI-Nostalgie / KI-Garten,"'Oma pflanzte es nur einmal...', 'Warum die Menschen in den 60ern schlanker waren'",DE; Land DE,Kanal angelegt 2026-05-03,2026-05 (ESTIMATED),VERIFIED (YouTube About: Beitrittsdatum),7540,2026-09-26,"VERIFIED (YouTube About, gerundet)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,38,VERIFIED,"ca. 1,8 (ESTIMATED)",UNKNOWN,UNKNOWN,https://www.youtube.com/watch?v=pStLbGV9Y_o,145255,2026-08-30,UNKNOWN,THIRD-PARTY OBSERVED (NexLev faceless_outliers_videos),UNKNOWN,Gesamtviews 996.484 (YouTube About),LIKELY,NexLev isAiContent=true,UNKNOWN,Small (<25K),ja (<5 Monate),nein,keine,"https://www.youtube.com/@WundersameErinnerungen/about ; NexLev faceless_outliers_videos (languages=german, isAiContent=true, Abruf 2026-09-26)",2026-09-26,Nostalgie x Garten (Oma-Pflanzen) = DE-spezifische Kombi.
@FantastiCars.youtube,https://www.youtube.com/@FantastiCars.youtube,"YouTube (Long-Form, teils Shorts)",KI-Autos / Nostalgie,"'22 Auto-Legenden der 70er & 80er, die heute fehlen'",DE; Land DE,Kanal angelegt 2025-11-27,2025-11/12 (ESTIMATED),VERIFIED (YouTube About: Beitrittsdatum),1880,2026-09-26,"VERIFIED (YouTube About, gerundet)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,86,VERIFIED,ca. 2 (ESTIMATED),UNKNOWN,UNKNOWN,https://www.youtube.com/watch?v=wx_dFPzI8ZE,353487,2026-03-12,UNKNOWN,THIRD-PARTY OBSERVED (NexLev faceless_outliers_videos),UNKNOWN,Gesamtviews 699.334 (YouTube About),LIKELY,NexLev isAiContent=true,UNKNOWN,Small (<5K),ja (Outlier-Score ~43),nein,keine,"https://www.youtube.com/@FantastiCars.youtube/about ; NexLev faceless_outliers_videos (languages=german, isAiContent=true, Abruf 2026-09-26)",2026-09-26,"Outlier 353K bei 1,9K Abos."
@AlteIndustrie,https://www.youtube.com/@AlteIndustrie,"YouTube (Long-Form, teils Shorts)",KI-Geschichte (Industrie DE),"Neoplan, Pfaff – deutsche Industrie-Imperien",DE; Kanal-Land US,Kanal angelegt 2020-04-03,UNKNOWN,VERIFIED (YouTube About: Beitrittsdatum),15500,2026-09-26,"VERIFIED (YouTube About, gerundet)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,170,VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,https://www.youtube.com/watch?v=tUxgc9vL3jk,169826,2026-05-16,UNKNOWN,THIRD-PARTY OBSERVED (NexLev faceless_outliers_videos),UNKNOWN,Gesamtviews 4.382.599 (YouTube About),LIKELY,NexLev isAiContent=true,UNKNOWN,Small (<25K),nein,nein,keine,"https://www.youtube.com/@AlteIndustrie/about ; NexLev faceless_outliers_videos (languages=german, isAiContent=true, Abruf 2026-09-26)",2026-09-26,"DE-spezifisches Thema, Betreiber-Land US."
@Verstecktes-Deutschland,https://www.youtube.com/@Verstecktes-Deutschland,"YouTube (Long-Form, teils Shorts)",KI-Städte/Orte DE,"'7 uralte Bauwerke in Deutschland', 'Die 9 einsamsten Dörfer Deutschlands'",DE,Kanal angelegt 2016-11-27,UNKNOWN,VERIFIED (YouTube About: Beitrittsdatum),6500,2026-09-26,"VERIFIED (YouTube About, gerundet)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,12,VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,https://www.youtube.com/watch?v=dQw8sxEsH0k,291531,UNKNOWN,UNKNOWN,THIRD-PARTY OBSERVED (NexLev faceless_outliers_videos),UNKNOWN,Gesamtviews 822.576 (YouTube About),LIKELY,NexLev isAiContent=true,UNKNOWN,Small (<25K),"ja (12 Videos, ~68K Views/Video)",nein,keine,"https://www.youtube.com/@Verstecktes-Deutschland/about ; NexLev faceless_outliers_videos (languages=german, isAiContent=true, Abruf 2026-09-26)",2026-09-26,
@DieEisenchroniken,https://www.youtube.com/@DieEisenchroniken,"YouTube (Long-Form, teils Shorts)",KI-Geschichte/Mittelalter,'Wie man im Mittelalter aß – vor 700 Jahren',DE; Kanal-Land Brasilien,Kanal angelegt 2026-02-15,2026-02 (ESTIMATED),VERIFIED (YouTube About: Beitrittsdatum),5580,2026-09-26,"VERIFIED (YouTube About, gerundet)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,60,VERIFIED,"ca. 1,7 (ESTIMATED)",UNKNOWN,UNKNOWN,https://www.youtube.com/watch?v=qGk69enqMec,158326,2026-02-15,UNKNOWN,THIRD-PARTY OBSERVED (NexLev faceless_outliers_videos),UNKNOWN,Gesamtviews 937.041 (YouTube About),LIKELY,NexLev isAiContent=true,UNKNOWN,Small (<25K),nein,nein,keine,"https://www.youtube.com/@DieEisenchroniken/about ; NexLev faceless_outliers_videos (languages=german, isAiContent=true, Abruf 2026-09-26)",2026-09-26,Ausländischer Operator (BR) mit DE-Content.
@GrunerDaumenn (Grüner Daumen | Johann Friedrich),https://www.youtube.com/@GrunerDaumenn,"YouTube (Long-Form, teils Shorts)",KI-Garten,"'VERBOTEN seit 1986 – die Pflanze, die dich 40 Jahre ernährt'",DE,Kanal angelegt 2021-04-27,UNKNOWN,VERIFIED (YouTube About: Beitrittsdatum),7770,2026-09-26,"VERIFIED (YouTube About, gerundet)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,165,VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,https://www.youtube.com/watch?v=dSh9Z089pLk,275012,2026-02-13,UNKNOWN,THIRD-PARTY OBSERVED (NexLev faceless_outliers_videos),UNKNOWN,Gesamtviews 354.892 (YouTube About),LIKELY,NexLev isAiContent=true; Persona-Name 'Johann Friedrich',UNKNOWN,Small (<25K),ja (Outlier-Score ~128),nein,keine,"https://www.youtube.com/@GrunerDaumenn/about ; NexLev faceless_outliers_videos (languages=german, isAiContent=true, Abruf 2026-09-26)",2026-09-26,Clickbait-Garten/Prepping – Qualitäts-/Wahrheitsrisiko.
